Philips","950.0","10.10.2018 20:23:54","Audio","93.234.120.149","2018-10-10"
"Asus","500.0","10.10.2018 20:54:54","TV","204.244.65.0","2018-10-10"
"Motorola","500.0","10.10.2018 19:25:54","EarPhone","255.57.247.167","2018-10-10"
"Asus","1100.0","10.10.2018 18:39:54","Gamepads","161.245.32.206","2018-10-10"
"Sony","900.0","10.10.2018 21:19:55","Gamepads","152.182.42.98","2018-10-10"
"HTC","950.0","10.10.2018 20:51:55","Laptop","165.71.30.229","2018-10-10"
"Samsung","1200.0","10.10.2018 20:08:55","Wrist-watch","112.212.243.106","2018-10-10"
"Panasonic","1200.0","10.10.2018 18:11:55","HI-FI","11.136.121.200","2018-10-10"
"Asus","950.0","10.10.2018 20:10:55","Chargers","201.72.197.219","2018-10-10"
"Motorola","1000.0","10.10.2018 21:07:55","Laptop","28.252.13.9","2018-10-10"
"Sharp","1000.0","10.10.2018 22:24:55","Consoles","63.75.41.233","2018-10-10"
"Motorola","1300.0","10.10.2018 21:46:55","Gamepads","72.57.72.103","2018-10-10"
"Toshiba","850.0","10.10.2018 22:37:55","Audio","65.89.224.252","2018-10-10"
"Asus","750.0","10.10.2018 22:27:55","PC","189.238.163.85","2018-10-10"
"Dell","950.0","10.10.2018 22:21:55","Gamepads","189.51.120.97","2018-10-10"
"Panasonic","1000.0","10.10.2018 20:03:55","DVD","15.221.152.162","2018-10-10"
"Asus","800.0","10.10.2018 21:23:55","Wrist-watch","235.42.139.198","2018-10-10"
"Panasonic","1100.0","10.10.2018 23:12:55","Audio","18.124.143.150","2018-10-10"
"Google","850.0","10.10.2018 19:21:55","HI-FI","55.137.161.222","2018-10-10"
"Nokia","600.0","10.10.2018 21:40:55","Wrist-watch","178.4.183.12","2018-10-10"
"Toshiba","850.0","10.10.2018 20:23:56","Wrist-watch","230.120.191.109","2018-10-10"
"Apple","950.0","10.10.2018 23:19:56","TV","255.141.207.170","2018-10-10"
"Panasonic","900.0","10.10.2018 17:49:56","Consoles","217.47.238.51","2018-10-10"
"Motorola","750.0","10.10.2018 23:14:56","PC","120.33.169.68","2018-10-10"
"LG","750.0","10.10.2018 19:09:56","Tablet","182.151.123.118","2018-10-10"
"Apple","750.0","10.10.2018 18:47:56","Phone","65.153.136.165","2018-10-10"
"Asus","1200.0","10.10.2018 19:49:56","Phone","242.166.93.24","2018-10-10"
"Philips","550.0","11.10.2018 22:32:54","DVD","140.4.130.131","2018-10-11"
"Google","550.0","11.10.2018 21:17:54","Consoles","222.173.163.94","2018-10-11"
"Nokia","750.0","11.10.2018 07:26:54","DVD","178.175.94.211","2018-10-11"
"Sharp","600.0","11.10.2018 03:16:54","Audio","171.77.172.1","2018-10-11"
"HTC","900.0","11.10.2018 05:00:54","Wrist-watch","151.195.143.118","2018-10-11"
"Panasonic","550.0","11.10.2018 07:09:54","Laptop","188.177.45.69","2018-10-11"
"HTC","500.0","11.10.2018 05:31:54","Chargers","218.184.201.17","2018-10-11"
